"Cantone","Nazionalità","Classi d'età 15-24, 15-49, 50 anni e più",,,"Disoccupati registrati","Persone in cerca d'impiego","Persone in cerca d'impiego non disoccupate"
"Basilea-Città","svizzeri","1","15-24 anni",,"263","339","76"
"Basilea-Città","svizzeri","2","25-49 anni",,"957","1'395","438"
"Basilea-Città","svizzeri","3","50 anni e più",,"455","715","260"
"Basilea-Città","svizzeri","Totale",,,"1'675","2'449","774"
"Basilea-Città","Totale","",,,"3'455","5'168","1'713"
"Basilea-Campagna","stranieri","1","15-24 anni",,"165","189","24"
"Basilea-Campagna","stranieri","2","25-49 anni",,"1'089","1'596","507"
"Basilea-Campagna","stranieri","3","50 anni e più",,"342","503","161"
"Basilea-Campagna","stranieri","Totale",,,"1'596","2'288","692"
"Basilea-Campagna","svizzeri","1","15-24 anni",,"359","418","59"
"Basilea-Campagna","svizzeri","2","25-49 anni",,"1'270","1'635","365"
"Basilea-Campagna","svizzeri","3","50 anni e più",,"857","1'199","342"
"Basilea-Campagna","svizzeri","Totale",,,"2'486","3'252","766"
"Basilea-Campagna","Totale","",,,"4'082","5'540","1'458"
"Sciaffusa","stranieri","1","15-24 anni",,"82","131","49"
"Sciaffusa","stranieri","2","25-49 anni",,"381","726","345"
"Sciaffusa","stranieri","3","50 anni e più",,"132","265","133"
"Sciaffusa","stranieri","Totale",,,"595","1'122","527"
"Sciaffusa","svizzeri","1","15-24 anni",,"144","230","86"
"Sciaffusa","svizzeri","2","25-49 anni",,"341","601","260"
"Sciaffusa","svizzeri","3","50 anni e più",,"206","375","169"
"Sciaffusa","svizzeri","Totale",,,"691","1'206","515"
"Sciaffusa","Totale","",,,"1'286","2'328","1'042"
"Appenzello Esterno","stranieri","1","15-24 anni",,"21","29","8"
"Appenzello Esterno","stranieri","2","25-49 anni",,"108","192","84"
"Appenzello Esterno","stranieri","3","50 anni e più",,"50","85","35"
"Appenzello Esterno","stranieri","Totale",,,"179","306","127"
"Appenzello Esterno","svizzeri","1","15-24 anni",,"44","72","28"
"Appenzello Esterno","svizzeri","2","25-49 anni",,"151","243","92"
"Appenzello Esterno","svizzeri","3","50 anni e più",,"149","245","96"
"Appenzello Esterno","svizzeri","Totale",,,"344","560","216"
"Appenzello Esterno","Totale","",,,"523","866","343"
"Appenzello Interno","stranieri","1","15-24 anni",,"6","8","2"
"Appenzello Interno","stranieri","2","25-49 anni",,"10","17","7"
"Appenzello Interno","stranieri","3","50 anni e più",,"7","8","1"
"Appenzello Interno","stranieri","Totale",,,"23","33","10"
"Appenzello Interno","svizzeri","1","15-24 anni",,"10","10","0"
"Appenzello Interno","svizzeri","2","25-49 anni",,"14","25","11"
"Appenzello Interno","svizzeri","3","50 anni e più",,"15","34","19"
"Appenzello Interno","svizzeri","Totale",,,"39","69","30"
"Appenzello Interno","Totale","",,,"62","102","40"
"San Gallo","stranieri","1","15-24 anni",,"408","599","191"
"San Gallo","stranieri","2","25-49 anni",,"1'844","3'294","1'450"
"San Gallo","stranieri","3","50 anni e più",,"650","1'186","536"
"San Gallo","stranieri","Totale",,,"2'902","5'079","2'177"
"San Gallo","svizzeri","1","15-24 anni",,"638","890","252"
"San Gallo","svizzeri","2","25-49 anni",,"1'550","2'531","981"
"San Gallo","svizzeri","3","50 anni e più",,"1'037","1'863","826"
"San Gallo","svizzeri","Totale",,,"3'225","5'284","2'059"
"San Gallo","Totale","",,,"6'127","10'363","4'236"
"Grigioni","stranieri","1","15-24 anni",,"53","86","33"
"Grigioni","stranieri","2","25-49 anni",,"336","827","491"
"Grigioni","stranieri","3","50 anni e più",,"138","344","206"
"Grigioni","stranieri","Totale",,,"527","1'257","730"
"Grigioni","svizzeri","1","15-24 anni",,"141","199","58"
"Grigioni","svizzeri","2","25-49 anni",,"277","549","272"
"Grigioni","svizzeri","3","50 anni e più",,"221","585","364"
"Grigioni","svizzeri","Totale",,,"639","1'333","694"
"Grigioni","Totale","",,,"1'166","2'590","1'424"
"Argovia","stranieri","1","15-24 anni",,"597","789","192"
"Argovia","stranieri","2","25-49 anni",,"3'270","4'823","1'553"
"Argovia","stranieri","3","50 anni e più",,"1'105","1'668","563"
