"TIME","GEO","S_ADJ","AGE","UNIT","SEX","Value"
"2017M07","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.5"
"2017M07","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.7"
"2017M07","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.7"
"2017M07","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.1"
"2017M07","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.2"
"2017M07","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.9"
"2017M07","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.2"
"2017M07","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.3"
"2017M08","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3"
"2017M08","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.2"
"2017M08","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.8"
"2017M08","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.7"
"2017M08","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.6"
"2017M08","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.4"
"2017M08","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.1"
"2017M08","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":"
"2017M08","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","16.8"
"2017M08","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.7"
"2017M08","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.7"
"2017M08","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.1"
"2017M08","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.6"
"2017M08","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.2"
"2017M08","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.5"
"2017M08","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.0"
"2017M08","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.2"
"2017M08","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.1"
"2017M08","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.7"
"2017M08","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.5"
"2017M08","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.7"
"2017M08","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.8"
"2017M08","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.1"
"2017M08","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.5"
"2017M08","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.4"
"2017M08","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.7"
"2017M08","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.6"
"2017M08","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":"
"2017M08","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.9"
"2017M08","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.1"
"2017M08","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":"
"2017M09","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.1"
"2017M09","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.1"
"2017M09","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.7"
"2017M09","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.7"
"2017M09","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.6"
"2017M09","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":"
"2017M09","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.1"
"2017M09","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":"
"2017M09","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","16.7"
"2017M09","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.7"
"2017M09","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.5"
"2017M09","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.1"
"2017M09","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.3"
"2017M09","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.9"
"2017M09","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.7"
"2017M09","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.0"
"2017M09","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":"
"2017M09","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.1"
"2017M09","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.7"
"2017M09","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.6"
"2017M09","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.6"
"2017M09","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.6"
"2017M09","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.0"
"2017M09","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.4"
"2017M09","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.2"
"2017M09","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.7"
"2017M09","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.8"
"2017M09","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":"
"2017M09","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","2.9"
"2017M09","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":"
"2017M09","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total",":"
